epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2992,0.94874,6.81569,0.94325,0,0,0,0,0.73436,4.18043,0.94367,2e-05,2e-05,0.09802
2,16.7534,0.9408,6.90854,0.91873,0,0,0,0,0.21298,4.18996,0.77572,4.9505e-05,4.9505e-05,0.0950495
3,17.351,0.60307,5.50085,0.81744,0,0,0,0,0.27828,4.27908,0.77847,7.8416e-05,7.8416e-05,0.0920784
4,17.9524,0.6711,5.30737,0.8359,0,0,0,0,0.33677,4.30521,0.80906,0.000106733,0.000106733,0.0891067
5,18.5688,0.56401,4.36608,0.82086,0,0,0,0,0.7138,4.45144,0.90932,0.000134456,0.000134456,0.0861345
6,19.1217,0.53425,4.19937,0.77081,0,0,0,0,0.66829,4.58361,0.95917,0.000161585,0.000161585,0.0831616
7,19.843,0.61,3.87462,0.8686,0,0,0,0,0.48997,4.59401,0.86821,0.00018812,0.00018812,0.0801881
8,20.4298,0.61093,3.82483,0.80244,0,0,0,0,0.47498,4.61085,0.8275,0.000214061,0.000214061,0.0772141
9,21.056,0.50754,3.5523,0.79511,0,0,0,0,0.51094,4.71248,0.85619,0.000239408,0.000239408,0.0742394
10,21.736,0.63599,3.42523,0.82047,0,0,0,0,0.44422,4.72073,0.85422,0.000264161,0.000264161,0.0712642
11,22.6554,0.50657,3.13143,0.80795,0,0,0,0,0.46297,4.69493,0.82128,0.00028832,0.00028832,0.0682883
12,23.4512,0.5235,3.24056,0.78874,0,0,0,0,0.3287,4.69218,0.83759,0.000311885,0.000311885,0.0653119
13,24.1668,0.58399,3.16224,0.84011,0,0,0,0,0.28551,4.63897,0.76195,0.000334856,0.000334856,0.0623349
14,25.004,0.55861,2.9489,0.81169,0,0,0,0,0.37013,4.51028,0.76426,0.000357233,0.000357233,0.0593572
15,25.8209,0.51667,3.07075,0.79871,0,0,0,0,0.32615,4.40106,0.75536,0.000379016,0.000379016,0.056379
16,26.3723,0.53109,3.00416,0.83928,0,0,0,0,0.30812,4.37284,0.75209,0.000400205,0.000400205,0.0534002
17,26.9447,0.61112,2.87871,0.80996,0,0,0,0,0.27845,4.27855,0.74897,0.0004208,0.0004208,0.0504208
18,27.5004,0.6336,2.92711,0.81251,0,0,0,0,0.32842,4.23167,0.75895,0.000440801,0.000440801,0.0474408
19,28.0588,0.59229,2.82461,0.81534,0,0,0,0,0.35532,4.21752,0.76192,0.000460208,0.000460208,0.0444602
20,28.7349,0.51958,2.75506,0.80374,0,0,0,0,0.33535,4.19399,0.7575,0.000479021,0.000479021,0.041479
21,29.32,0.55686,2.8627,0.83094,0.01786,0.125,0.03109,0.03109,0.38865,4.10874,0.76719,0.00049724,0.00049724,0.0384972
22,29.8885,0.5133,2.75405,0.83612,0.01793,0.25,0.03444,0.03349,0.38256,4.05183,0.76951,0.000514865,0.000514865,0.0355149
23,30.4924,0.54238,2.65818,0.8184,0.00936,0.25,0.03178,0.03109,0.36064,3.90084,0.76626,0.000531896,0.000531896,0.0325319
24,31.0213,0.57857,2.71016,0.82045,0.01137,0.375,0.04297,0.04275,0.28204,3.84654,0.75504,0.000548333,0.000548333,0.0295483
25,31.595,0.53973,2.64922,0.8266,0.13854,0.45833,0.12281,0.1139,0.29003,3.75619,0.76094,0.000564176,0.000564176,0.0265642
26,32.1357,0.52243,2.74809,0.79187,0.13674,0.45833,0.11474,0.10983,0.3409,3.72426,0.76181,0.000579425,0.000579425,0.0235794
27,32.7616,0.49668,2.69795,0.82669,0.13715,0.5,0.15042,0.13221,0.42278,3.70552,0.76686,0.00059408,0.00059408,0.0205941
28,33.3325,0.56327,2.70327,0.82778,0.137,0.5,0.15239,0.13364,0.45437,3.65929,0.76954,0.000608141,0.000608141,0.0176081
29,33.8829,0.47487,2.69267,0.82381,0.137,0.5,0.15239,0.13364,0.45437,3.65929,0.76954,0.000621608,0.000621608,0.0146216
30,34.4541,0.50186,2.59329,0.82056,0.08778,0.625,0.1704,0.15579,0.51916,3.46823,0.78243,0.000634481,0.000634481,0.0116345
31,35.0692,0.51977,2.57434,0.83121,0.06887,0.66667,0.22253,0.20434,0.47207,3.25363,0.77865,0.00064676,0.00064676,0.00864676
32,35.6892,0.51946,2.55995,0.81403,0.04286,0.70833,0.22633,0.2174,0.40543,3.06798,0.76897,0.000658445,0.000658445,0.00565844
33,36.2526,0.4646,2.55519,0.83568,0.04286,0.70833,0.22633,0.2174,0.40543,3.06798,0.76897,0.000669536,0.000669536,0.00266954
34,36.9286,0.49964,2.68427,0.79362,0.04742,1,0.21965,0.2078,0.43808,2.83193,0.77137,0.0006733,0.0006733,0.0006733
35,37.5023,0.49694,2.55888,0.85938,0.03311,1,0.23637,0.22256,0.40949,2.71877,0.77186,0.0006634,0.0006634,0.0006634
36,38.0762,0.46802,2.66348,0.81279,0.07729,0.66667,0.27982,0.26005,0.43834,2.59129,0.77364,0.0006535,0.0006535,0.0006535
37,38.62,0.51624,2.67111,0.84899,0.07729,0.66667,0.27982,0.26005,0.43834,2.59129,0.77364,0.0006436,0.0006436,0.0006436
38,39.1827,0.55599,2.47741,0.83374,0.02635,1,0.26614,0.25243,0.41388,2.53149,0.77026,0.0006337,0.0006337,0.0006337
39,39.7307,0.49331,2.54249,0.82746,0.11064,0.66019,0.29548,0.28914,0.35396,2.5311,0.76699,0.0006238,0.0006238,0.0006238
40,40.3881,0.46965,2.60544,0.83464,0.02671,1,0.26386,0.25558,0.37946,2.60171,0.77217,0.0006139,0.0006139,0.0006139
41,40.929,0.46601,2.53514,0.80543,0.02671,1,0.26386,0.25558,0.37946,2.60171,0.77217,0.000604,0.000604,0.000604
42,41.4949,0.42611,2.66488,0.81464,0.02887,1,0.29534,0.28173,0.38888,2.64387,0.77338,0.0005941,0.0005941,0.0005941
43,42.0238,0.54012,2.47031,0.81259,0.03195,1,0.30937,0.29053,0.34689,2.6821,0.76998,0.0005842,0.0005842,0.0005842
44,42.5979,0.50308,2.59169,0.82813,0.03495,1,0.30283,0.28284,0.37963,2.71429,0.76804,0.0005743,0.0005743,0.0005743
45,43.1414,0.46325,2.51474,0.80171,0.03495,1,0.30283,0.28284,0.37963,2.71429,0.76804,0.0005644,0.0005644,0.0005644
46,43.8214,0.50839,2.50193,0.82518,0.03243,1,0.37349,0.34386,0.36675,2.70637,0.76495,0.0005545,0.0005545,0.0005545
47,44.3888,0.50639,2.51432,0.82419,0.03052,1,0.37696,0.34781,0.36997,2.65064,0.76341,0.0005446,0.0005446,0.0005446
48,44.999,0.53038,2.47974,0.82735,0.02963,1,0.3977,0.38233,0.35105,2.56477,0.76056,0.0005347,0.0005347,0.0005347
49,45.5585,0.55859,2.52846,0.8062,0.02963,1,0.3977,0.38233,0.35105,2.56477,0.76056,0.0005248,0.0005248,0.0005248
50,46.1269,0.51367,2.40884,0.83391,0.02746,1,0.40538,0.39851,0.32717,2.49063,0.75759,0.0005149,0.0005149,0.0005149
51,46.7154,0.45312,2.4277,0.79652,0.02507,1,0.40619,0.39637,0.30055,2.41943,0.75705,0.000505,0.000505,0.000505
52,47.256,0.51535,2.37319,0.8101,0.02328,1,0.40181,0.39141,0.3184,2.3655,0.75756,0.0004951,0.0004951,0.0004951
53,47.8833,0.46714,2.39209,0.80804,0.02328,1,0.40181,0.39141,0.3184,2.3655,0.75756,0.0004852,0.0004852,0.0004852
54,48.4398,0.46556,2.26217,0.81364,0.12128,0.70833,0.40301,0.39173,0.30998,2.31388,0.76044,0.0004753,0.0004753,0.0004753
55,48.9739,0.47221,2.37078,0.81572,0.23666,0.36314,0.39332,0.37677,0.31986,2.26093,0.76476,0.0004654,0.0004654,0.0004654
56,49.4654,0.51868,2.41833,0.80147,0.2909,0.33333,0.39612,0.37234,0.36447,2.19706,0.77118,0.0004555,0.0004555,0.0004555
57,50.0222,0.42745,2.3722,0.78907,0.2909,0.33333,0.39612,0.37234,0.36447,2.19706,0.77118,0.0004456,0.0004456,0.0004456
58,50.5852,0.41161,2.36684,0.79705,0.56976,0.16667,0.41339,0.39048,0.35432,2.15289,0.76862,0.0004357,0.0004357,0.0004357
59,51.1243,0.43707,2.2759,0.80176,0.44735,0.19046,0.37417,0.35501,0.34252,2.11246,0.76435,0.0004258,0.0004258,0.0004258
60,51.7878,0.46252,2.23236,0.81558,0.13669,0.33333,0.27343,0.26724,0.28718,2.09508,0.7595,0.0004159,0.0004159,0.0004159
61,52.2983,0.39796,2.34838,0.82803,0.13669,0.33333,0.27343,0.26724,0.28718,2.09508,0.7595,0.000406,0.000406,0.000406
62,52.8503,0.422,2.34362,0.7984,0.12807,0.34569,0.28134,0.27599,0.24127,2.07782,0.75602,0.0003961,0.0003961,0.0003961
63,53.3878,0.43513,2.24757,0.8011,0.23554,0.326,0.28341,0.27682,0.2697,2.06599,0.7567,0.0003862,0.0003862,0.0003862
64,53.9124,0.40777,2.41037,0.79377,0.1227,0.57562,0.34068,0.33263,0.31236,2.05354,0.76067,0.0003763,0.0003763,0.0003763
65,54.5222,0.38641,2.24336,0.79265,0.1227,0.57562,0.34068,0.33263,0.31236,2.05354,0.76067,0.0003664,0.0003664,0.0003664
66,55.1144,0.39998,2.28127,0.80894,0.12532,0.55699,0.34229,0.33547,0.34802,2.04191,0.76266,0.0003565,0.0003565,0.0003565
67,55.6434,0.42987,2.23382,0.81331,0.14268,0.59797,0.36093,0.35176,0.34463,2.02608,0.76475,0.0003466,0.0003466,0.0003466
68,56.1501,0.38414,2.46249,0.80232,0.16039,0.64244,0.37314,0.36656,0.3076,2.02259,0.76229,0.0003367,0.0003367,0.0003367
69,56.6504,0.4035,2.30216,0.81318,0.16039,0.64244,0.37314,0.36656,0.3076,2.02259,0.76229,0.0003268,0.0003268,0.0003268
70,57.2005,0.4186,2.36919,0.79183,0.47564,0.36296,0.38814,0.38228,0.28071,2.02442,0.76119,0.0003169,0.0003169,0.0003169
71,57.7432,0.44971,2.32107,0.79896,0.47872,0.36353,0.39828,0.392,0.25531,2.04014,0.76093,0.000307,0.000307,0.000307
72,58.531,0.44742,2.282,0.80915,0.12932,0.49041,0.36689,0.36164,0.2362,2.0579,0.75987,0.0002971,0.0002971,0.0002971
73,59.5438,0.42776,2.35032,0.81537,0.12932,0.49041,0.36689,0.36164,0.2362,2.0579,0.75987,0.0002872,0.0002872,0.0002872
74,60.3027,0.44651,2.23224,0.81079,0.1426,0.47432,0.36689,0.36164,0.23021,2.05323,0.76011,0.0002773,0.0002773,0.0002773
75,60.8012,0.42222,2.26863,0.76172,0.09841,0.30899,0.34502,0.3432,0.23792,2.06188,0.75989,0.0002674,0.0002674,0.0002674
76,61.328,0.39604,2.30128,0.80397,0.08539,0.29167,0.33268,0.33083,0.24018,2.07356,0.75979,0.0002575,0.0002575,0.0002575
77,61.8386,0.41842,2.24772,0.81877,0.08539,0.29167,0.33268,0.33083,0.24018,2.07356,0.75979,0.0002476,0.0002476,0.0002476
78,62.3789,0.40072,2.22682,0.79637,0.08619,0.29233,0.33753,0.3347,0.2459,2.06892,0.76249,0.0002377,0.0002377,0.0002377
79,63.0383,0.40656,2.28141,0.79752,0.10041,0.32999,0.33979,0.33666,0.26319,2.07109,0.76274,0.0002278,0.0002278,0.0002278
80,63.5769,0.46283,2.34224,0.80865,0.10819,0.35157,0.33148,0.32692,0.27732,2.08331,0.76517,0.0002179,0.0002179,0.0002179
81,64.1146,0.39282,2.19785,0.80456,0.10819,0.35157,0.33148,0.32692,0.27732,2.08331,0.76517,0.000208,0.000208,0.000208
82,64.6585,0.35825,2.26087,0.79702,0.10269,0.33593,0.3291,0.32023,0.31385,2.08609,0.76743,0.0001981,0.0001981,0.0001981
83,65.2241,0.43412,2.24497,0.8145,0.08617,0.32661,0.32822,0.31957,0.32769,2.08351,0.76912,0.0001882,0.0001882,0.0001882
84,65.7707,0.45345,2.20644,0.81614,0.09368,0.31435,0.322,0.31441,0.32634,2.08169,0.77007,0.0001783,0.0001783,0.0001783
85,66.279,0.42427,2.23702,0.80121,0.09368,0.31435,0.322,0.31441,0.32634,2.08169,0.77007,0.0001684,0.0001684,0.0001684
86,66.8198,0.42306,2.25627,0.79583,0.09373,0.31644,0.32795,0.31975,0.33306,2.07853,0.7707,0.0001585,0.0001585,0.0001585
87,67.4511,0.45096,2.19483,0.78685,0.09539,0.32938,0.32173,0.31415,0.32902,2.07747,0.77042,0.0001486,0.0001486,0.0001486
88,68.0202,0.42849,2.18959,0.78891,0.09792,0.34382,0.32559,0.31863,0.32577,2.07475,0.7694,0.0001387,0.0001387,0.0001387
89,68.4925,0.3579,2.22501,0.80218,0.09792,0.34382,0.32559,0.31863,0.32577,2.07475,0.7694,0.0001288,0.0001288,0.0001288
90,68.9982,0.33651,2.16964,0.79702,0.09514,0.33887,0.32546,0.3185,0.30839,2.071,0.76793,0.0001189,0.0001189,0.0001189
91,70.2913,0.36999,2.5367,0.81258,0.09857,0.35771,0.32118,0.31763,0.29187,2.06893,0.76675,0.000109,0.000109,0.000109
92,70.8975,0.35686,2.38741,0.79859,0.09944,0.36185,0.31935,0.3158,0.29634,2.06735,0.7658,9.91e-05,9.91e-05,9.91e-05
93,71.4164,0.29141,2.26189,0.79059,0.09944,0.36185,0.31935,0.3158,0.29634,2.06735,0.7658,8.92e-05,8.92e-05,8.92e-05
94,72.0975,0.32521,2.43035,0.77316,0.22486,0.36302,0.31935,0.31589,0.29734,2.07019,0.76473,7.93e-05,7.93e-05,7.93e-05
95,72.629,0.32422,2.20743,0.79787,0.22732,0.36442,0.31224,0.30879,0.2902,2.07602,0.76428,6.94e-05,6.94e-05,6.94e-05
96,73.1873,0.31718,2.29307,0.78061,0.22911,0.3671,0.31374,0.31074,0.29092,2.07884,0.76375,5.95e-05,5.95e-05,5.95e-05
97,73.6993,0.37804,2.49284,0.80001,0.22911,0.3671,0.31374,0.31074,0.29092,2.07884,0.76375,4.96e-05,4.96e-05,4.96e-05
98,74.2414,0.40345,2.38489,0.8074,0.10518,0.37075,0.31586,0.31285,0.28867,2.07962,0.76348,3.97e-05,3.97e-05,3.97e-05
99,74.7947,0.32577,2.29476,0.79377,0.10302,0.37309,0.31152,0.30852,0.28911,2.0877,0.76336,2.98e-05,2.98e-05,2.98e-05
100,75.3376,0.32286,2.1681,0.8166,0.1048,0.37615,0.30979,0.30679,0.2853,2.09068,0.76328,1.99e-05,1.99e-05,1.99e-05
